Timestep, Boss, Warrior, Rogue, Mage, Druid, Priest
1,4942,2957,1484,993,1230,895
2,4894,2937,1478,984,1224,882
3,4842,2920,1475,977,1207,876
4,4794,2896,1467,968,1212,868
5,4731,2870,1462,975,1203,850
6,4669,2848,1442,962,1189,853
7,4620,2821,1422,944,1188,835
8,4577,2792,1403,930,1177,841
9,4535,2761,1400,919,1158,825
10,4490,2733,1386,907,1159,817
11,4438,2699,1372,893,1145,817
12,4371,2667,1364,878,1127,813
13,4319,2634,1358,863,1110,814
14,4272,2605,1354,855,1096,800
15,4227,2572,1343,860,1087,794
16,4174,2536,1332,847,1084,787
17,4111,2494,1333,828,1072,772
18,4061,2460,1323,811,1053,775
19,4005,2419,1311,806,1035,777
20,3953,2381,1304,812,1029,758
21,3883,2341,1297,808,1019,738
22,3819,2300,1290,795,999,748
23,3759,2258,1290,776,982,738
24,3698,2213,1278,760,963,734
25,3635,2169,1258,747,951,735
26,3583,2116,1241,736,938,731
27,3527,2064,1227,736,924,713
28,3459,2009,1216,734,913,701
29,3400,1952,1200,739,902,686
30,3339,1896,1186,744,892,676
31,3296,1845,1171,746,879,667
32,3238,1784,1164,753,866,656
33,3193,1727,1145,748,852,658
34,3124,1672,1125,728,832,663
35,3062,1616,1115,718,818,672
36,2996,1559,1107,708,807,679
37,2933,1502,1090,691,799,681
38,2882,1439,1082,698,789,661
39,2824,1374,1070,682,795,656
40,2760,1306,1079,673,779,650
41,2711,1237,1069,656,779,643
42,2645,1173,1062,655,762,638
43,2587,1101,1050,640,742,641
44,2528,1032,1036,627,735,640
45,2475,963,1026,611,729,648
46,2418,891,1006,595,723,658
47,2379,817,1001,588,712,654
48,2331,744,993,579,707,646
49,2292,666,979,568,702,643
50,2237,590,968,556,682,643
51,2194,510,956,546,672,642
52,2151,421,946,537,675,637
53,2105,334,939,521,665,646
54,2045,249,934,514,652,638
55,1985,165,925,509,644,643
56,1935,73,919,497,627,649
57,1863,-15,908,483,624,634
