Timestep, Boss, Warrior, Rogue, Mage, Druid, Priest
1,4938,2960,1484,984,1236,894
2,4883,2938,1486,974,1229,880
3,4823,2919,1469,977,1218,873
4,4778,2898,1466,957,1210,858
5,4718,2882,1446,948,1215,839
6,4676,2862,1432,936,1212,833
7,4618,2843,1437,923,1203,828
8,4575,2824,1441,903,1191,819
9,4539,2808,1426,887,1176,827
10,4480,2784,1415,882,1165,816
11,4421,2766,1425,876,1160,806
12,4373,2746,1416,882,1154,801
13,4324,2730,1410,870,1149,809
14,4277,2711,1404,861,1135,819
15,4211,2693,1411,841,1130,808
16,4151,2676,1415,825,1123,799
17,4105,2657,1421,806,1113,783
18,4046,2642,1414,790,1106,779
19,3986,2626,1408,778,1100,788
20,3929,2601,1395,780,1088,782
21,3867,2576,1385,761,1071,788
22,3798,2556,1369,742,1051,796
23,3734,2538,1354,743,1036,787
24,3686,2521,1364,738,1029,778
25,3630,2504,1355,733,1018,773
26,3562,2480,1346,731,1013,755
27,3509,2458,1331,717,1007,763
28,3454,2442,1321,713,1000,750
29,3394,2417,1316,695,989,760
30,3333,2400,1297,698,984,751
31,3278,2377,1277,690,970,760
32,3220,2359,1262,685,961,760
33,3164,2337,1246,683,955,741
34,3109,2316,1227,679,950,729
35,3047,2298,1210,667,941,732
36,2991,2283,1198,657,930,737
37,2943,2263,1184,646,919,737
38,2887,2246,1168,628,921,730
39,2830,2225,1159,616,903,725
40,2768,2201,1139,605,898,724
41,2717,2185,1123,592,883,720
42,2660,2162,1115,599,863,707
43,2603,2146,1105,595,849,696
44,2543,2122,1092,591,839,680
45,2479,2101,1086,571,827,677
46,2420,2076,1077,567,808,658
47,2347,2054,1086,558,795,639
48,2287,2038,1078,541,776,641
49,2243,2016,1073,521,775,635
50,2207,2001,1068,511,760,642
51,2139,1980,1059,503,743,651
52,2089,1964,1055,488,729,633
53,2043,1940,1035,473,712,639
54,1999,1922,1023,481,702,623
55,1943,1900,1021,472,692,606
56,1881,1879,1005,461,672,606
57,1834,1864,985,452,664,609
58,1785,1846,985,441,645,593
59,1728,1830,968,429,629,598
60,1678,1807,962,409,616,607
61,1615,1784,949,404,602,611
62,1559,1761,937,399,587,619
63,1491,1743,917,391,575,629
64,1428,1726,900,396,567,613
65,1373,1709,888,379,560,619
66,1326,1691,877,371,544,614
67,1259,1673,867,367,527,595
68,1207,1656,860,348,511,601
69,1156,1632,855,351,503,583
70,1087,1608,836,345,498,575
71,1052,1592,827,335,484,575
72,1012,1577,826,321,467,570
73,971,1559,813,310,451,578
74,903,1542,799,309,444,571
75,839,1521,788,294,434,580
76,780,1499,770,280,426,600
77,728,1484,758,260,426,610
78,679,1462,752,248,413,628
79,623,1440,758,242,401,623
80,556,1421,750,249,391,619
81,491,1401,751,230,392,611
82,431,1376,745,223,382,628
83,374,1356,736,204,389,637
84,312,1313,728,186,377,634
85,268,1266,733,196,357,616
86,215,1226,740,180,346,613
87,156,1180,727,164,332,617
88,106,1138,713,159,323,617
89,54,1089,701,144,328,609
